cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,Tc_repaired,Hc2_repaired,withdrawn,repair,reproduced,range_repaired,beta_repaired,n_pts_repaired,lever_H,clears_field_clause_x,passing_repaired,beta_protocol,beta_nofloor,has_lever,admitted,clears_field_clause_y,beta_as_deposited,beta_anchor_repaired,physicality_as_deposited
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_10K,51.0,21.4443,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,62,62,0.6636,T,10.0,0.3726991428817063,0.1949,5.5476,0.0287092894518592,0.1654,True,ok,1002.0208v2.pdf,51.0,21.4443,,,True,0.6635871761390644,0.3726991428817063,62,0.4733451866995629,True,True,0.3726991428817063,0.3726991428817063,True,True,True,0.3727,0.3726991428817063,ok
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_15K,51.0,16.8715,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,55,55,0.8312,T,15.0,0.2499047717080467,0.0974,5.2521,0.0276508695594497,0.14835,True,ok,1002.0208v2.pdf,51.0,16.8715,,,True,0.8311656337877957,0.2499047717080467,55,0.7726677688668272,True,True,0.2499047717080467,0.2499047717080467,True,True,True,0.2499,0.2499047717080467,ok
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_20K,51.0,12.76,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,52,56,0.983,T,20.0,0.1455652371012274,0.0436,4.9645,0.023683585339087,0.10336,True,ok,1002.0208v2.pdf,51.0,12.76,,,True,0.9829876098014476,0.16075029062342,52,1.7712276232706463,True,True,0.1455652371012274,0.16075029062342,True,True,True,0.1607,0.16075029062342,ok
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_25K,51.0,9.1331,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,51,65,0.9758,T,25.0,0.0684316323994699,0.061,4.7031,0.0282828616734218,0.13734,True,ok,1002.0208v2.pdf,51.0,9.1331,,,True,0.9757811144303994,0.0990393103240711,51,1.6177630529977542,True,True,0.0684316323994699,0.0990393103240711,True,True,True,0.099,0.0990393103240711,ok
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_30K,51.0,6.0207,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,60,68,0.9987,T,30.0,0.5241444740742838,0.0487,4.4362,0.0298678272723394,0.17614,True,ok,1002.0208v2.pdf,51.0,6.0207,,,True,0.9987238616983174,0.3414641627279559,60,2.95523420483324,True,True,0.5241444740742838,0.3414641627279559,True,True,True,0.3412,0.3414641627279559,ok
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_7K,51.0,24.4013,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,49,49,0.5984,T,7.0,1.0150603666098958,0.2703,5.8434,0.0343070324243684,0.18398,True,ok,1002.0208v2.pdf,51.0,24.4013,,,True,0.5983788852917935,1.0150603666098958,49,0.396211453411378,True,True,1.0150603666098958,1.0150603666098958,True,True,True,1.0151,1.0150603666098958,ok
B,elsevier_10.1016_j.physc.2013.04.060,MgB(2-x)Cx_x_0_0386,wire,MgB(2-x)Cx_x_0_0386_4_2K,39.0,10.5,15.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,7,7,0.5720645520311632,T,4.2,4.80890241368759,0.1680707748165542,5.563546710518575,0.0603681948596982,0.0658246440983831,True,ok,elsevier_10.1016_j.physc.2013.04.060,39.0,15.3,,,True,0.3925933200213865,4.80890241368759,7,0.2607467810178108,True,True,4.80890241368759,4.80890241368759,False,True,True,2.353999706812804,4.80890241368759,ok
B,elsevier_10.1016_j.physc.2013.04.060,MgB2,wire,MgB2_4_2K,39.0,10.5,15.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,5,5,0.3817473567056206,T,4.2,4.485592075902136,0.2469651348649325,5.6148702752653215,0.1031082192361673,0.0628140832133399,True,ok,elsevier_10.1016_j.physc.2013.04.060,39.0,11.2,,,True,0.3578881469115193,4.485592075902136,5,0.3526857212843639,True,True,4.485592075902136,4.485592075902136,True,True,True,3.7999293071337386,4.485592075902136,ok
B,elsevier_10.1016_j.physc.2013.04.060,MgB2,wire,Undoped_MgB2_10K,39.0,11.9,15.5,Tier_1_direct_match_at_10.0K_term_Birr,7,7,0.5047600435523046,T,10.0,3.8755912236446273,0.1428091414130274,5.783351519028241,0.0524409511795588,0.0512768881885401,True,ok,elsevier_10.1016_j.physc.2013.04.060,39.0,11.0,,,True,0.5460585925702205,3.8755912236446273,7,0.5997284440122732,True,True,3.8755912236446273,3.8755912236446273,True,True,True,4.779311736113043,3.8755912236446273,ok
B,elsevier_10.1016_j.physc.2013.04.060,MgB2_Ag_doped,wire,Ag_Doped_MgB2_10K,39.0,11.9,15.5,Tier_1_direct_match_at_10.0K_term_Birr,9,9,0.6745023590831682,T,10.0,3.9638026252324745,0.1510446510524187,5.29332971608345,0.0849947712227935,0.1225923718564929,True,ok,elsevier_10.1016_j.physc.2013.04.060,39.0,14.5,,,True,0.553557108488945,3.9638026252324745,9,0.5179195943278452,True,True,3.9638026252324745,3.9638026252324745,True,True,True,2.0905650082158456,3.9638026252324745,ok
