cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,substructure
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,10.0,0.427930273986556,0.0518834002608832,5.797653148949851,0.0258152090791993,0.0264853359525123,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.4951735149192295,0.053930907380449,5.764626466926182,0.026833972522974,0.0275305453505172,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818691102,0.0547673897200724,5.730662083288469,0.0272501727502513,0.0279575491659855,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032498568847,0.0520709521465022,5.697954146705582,0.0259085278395549,0.0265810770277037,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,7.0,50.0,Tier_1_direct_match_at_21.0K_term_H_irr_Birr,5,5,0.7857142857142857,T,21.0,2.0318848862207117,0.4977109553283936,5.21625336030008,0.208382099812955,0.2589401026783602,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.2584991142801328,0.040298581558324,5.938873932801721,0.0200510446993078,0.0205715413818731,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.3065084603671735,0.044608650772612,5.887064559451677,0.0221955714110408,0.0227717377227254,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417228705511,0.0494584555997802,5.829125433590956,0.0246086502086876,0.0252474567058803,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,10.0,0.427930273986556,0.0518834002608832,5.797653148949851,0.0258152090791993,0.0264853359525123,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.4951735149192295,0.053930907380449,5.764626466926182,0.026833972522974,0.0275305453505172,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818691102,0.0547673897200724,5.730662083288469,0.0272501727502513,0.0279575491659855,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032498568847,0.0520709521465022,5.697954146705582,0.0259085278395549,0.0265810770277037,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,17.0,0.7889815008385456,0.0677411233921125,5.644766721618954,0.0337054098098563,0.0345803551616039,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_direct_match_at_18.0K_term_H_irr_Birr,4,4,0.7777777777777778,T,18.0,0.8608719111058379,0.0890320037271927,5.584398792977684,0.0442989431168349,0.0454488817939214,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,5.0,50.0,Tier_1_direct_match_at_19.0K_term_H_irr_Birr,4,4,0.7,T,19.0,1.3774048505485763,0.1258184886704496,5.546252608249943,0.0466234002979101,0.045928959992024,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,6.0,50.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,4,4,0.5833333333333334,T,20.0,2.5994078829980607,0.1790004851035513,5.520299810463274,0.0461903182251449,0.0434892469736427,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,7.0,50.0,Tier_1_direct_match_at_21.0K_term_H_irr_Birr,5,5,0.7857142857142857,T,21.0,2.0318848862207117,0.4977109553283936,5.21625336030008,0.208382099812955,0.2589401026783602,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.phpro.2012.03.421,"Ba(Fe,Ru)2As2",single_crystal,Ba(Fe0.63Ru0.37)2As2,20.0,15.3,60.0,Tier_1_extrapolated_to_low_T_anchor_15.0K,6,6,0.0326797385620915,T,2.0,19.056778098711693,2.6289279727727983,5.65243514817675,0.0170145958550122,0.0260526254717557,True,H_axis_applicability_bound,elsevier_10.1016_j.phpro.2012.03.421,iron_pnictide_122
