cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,Tc_repaired,Hc2_repaired,withdrawn,repair,reproduced,range_repaired,beta_repaired,n_pts_repaired,lever_H,clears_field_clause,passing_repaired,beta_protocol
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,10.0,0.4279302736604867,0.0518834002608832,5.797653148949851,0.0258152090791993,0.0264853359525123,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.4279302736604867,4,0.9030899869919432,True,True,0.4279302736604867
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.4951735148451809,0.053930907380449,5.764626466926182,0.026833972522974,0.0275305453505172,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.4951735148451809,4,0.9030899869919432,True,True,0.4951735148451809
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818595167,0.0547673897200724,5.730662083288469,0.0272501727502513,0.0279575491659855,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.5905290818595167,4,0.9030899869919432,True,True,0.5905290818595167
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032499979288,0.0520709521465022,5.697954146705582,0.0259085278395549,0.0265810770277037,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.7400032499979288,4,0.9030899869919432,True,True,0.7400032499979288
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,17.0,0.7889815020267964,0.0677411233921125,5.644766721618954,0.0337054098098563,0.0345803551616039,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.7889815020267964,4,0.9030899869919432,True,True,0.7889815020267964
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_10K,51.0,21.4443,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,62,62,0.6636,T,10.0,0.3726991428817063,0.1949,5.5476,0.0287092894518592,0.1654,True,ok,1002.0208v2.pdf,51.0,21.4443,,,True,0.6635871761390644,0.3726991428817063,62,0.4733451866995629,True,True,0.3726991428817063
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_15K,51.0,16.8715,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,55,55,0.8312,T,15.0,0.2499047717080467,0.0974,5.2521,0.0276508695594497,0.14835,True,ok,1002.0208v2.pdf,51.0,16.8715,,,True,0.8311656337877957,0.2499047717080467,55,0.7726677688668272,True,True,0.2499047717080467
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_20K,51.0,12.76,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,52,56,0.983,T,20.0,0.1455652371012274,0.0436,4.9645,0.023683585339087,0.10336,True,ok,1002.0208v2.pdf,51.0,12.76,,,True,0.9829876098014476,0.16075029062342,52,1.7712276232706463,True,True,0.1455652371012274
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_25K,51.0,9.1331,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,51,65,0.9758,T,25.0,0.0684316323994699,0.061,4.7031,0.0282828616734218,0.13734,True,ok,1002.0208v2.pdf,51.0,9.1331,,,True,0.9757811144303994,0.0990393103240711,51,1.6177630529977542,True,True,0.0684316323994699
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_30K,51.0,6.0207,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,60,68,0.9987,T,30.0,0.5241444740742838,0.0487,4.4362,0.0298678272723394,0.17614,True,ok,1002.0208v2.pdf,51.0,6.0207,,,True,0.9987238616983174,0.3414641627279559,60,2.95523420483324,True,True,0.5241444740742838
