compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_temperature,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
B2Mg0.7,conventional_AlB2,37.2,15.5,28.644,5.0,0.7699999999999999,T_above_validated_reduced_temperature,4.295704343268543,3.713384412447906,4.888625960542342
B2Mg0.8,conventional_AlB2,38.0,15.5,29.26,5.0,0.77,T_above_validated_reduced_temperature,4.293348787087427,3.729796993275623,4.887107277187327
B2Mg0.85Na0.15,conventional_AlB2,38.0,15.5,29.26,5.0,0.77,T_above_validated_reduced_temperature,4.294095904859594,3.736995635491813,4.888690054528903
B2Mg0.88Sc0.12,conventional_AlB2,30.0,15.5,23.1,5.0,0.77,T_above_validated_reduced_temperature,4.310912999159578,3.730418030636423,4.89056416417245
B2Mg0.8Na0.2,conventional_AlB2,38.0,15.5,29.26,5.0,0.77,T_above_validated_reduced_temperature,4.293074303734237,3.681599799239039,4.89869938559015
B2Mg0.8Ti0.2,conventional_AlB2,37.8,15.5,29.106,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.290164137083802,3.701830342775122,4.879874719513261
B2Mg0.8Zn0.2,conventional_AlB2,38.4,15.5,29.568,5.0,0.77,T_above_validated_reduced_temperature,4.289770412236116,3.6359948278859022,4.888572050221825
B2Mg0.8Zr0.2,conventional_AlB2,37.3,15.5,28.721,5.0,0.77,T_above_validated_reduced_temperature,4.290932282852009,3.645144287888902,4.886880082509889
B2Mg0.9,conventional_AlB2,38.2,15.5,29.414,5.0,0.77,T_above_validated_reduced_temperature,4.28692584838445,3.6728076820944033,4.877626862374022
B2Mg0.93Na0.07,conventional_AlB2,38.0,15.5,29.26,5.0,0.77,T_above_validated_reduced_temperature,4.287247731331653,3.690971634649855,4.898083474210686
B2Mg0.94Pb0.06,conventional_AlB2,35.0,15.5,26.95,5.0,0.77,T_above_validated_reduced_temperature,4.290083097121328,3.649702830899979,4.88563554060589
B2Mg0.95Mn0.05,conventional_AlB2,30.0,15.5,23.1,5.0,0.77,T_above_validated_reduced_temperature,4.306147150398644,3.636027152104969,4.895455100843726
B2Mg0.95Ti0.05,conventional_AlB2,38.5,15.5,29.645,5.0,0.77,T_above_validated_reduced_temperature,4.288637571953361,3.699308315083176,4.8882803543190985
B2Mg0.95Zn0.05,conventional_AlB2,38.3,15.5,29.491,5.0,0.77,T_above_validated_reduced_temperature,4.294395623869491,3.71099600026588,4.888886792558536
B2Mg0.95Zr0.05,conventional_AlB2,37.7,15.5,29.029000000000003,5.0,0.77,T_above_validated_reduced_temperature,4.285776894203593,3.641372938764446,4.895093380911806
B2Mg0.96Mn0.04,conventional_AlB2,32.3,15.5,24.871,5.0,0.77,T_above_validated_reduced_temperature,4.307343295702307,3.723660771122932,4.893196221267145
B2Mg0.97Na0.03,conventional_AlB2,38.0,15.5,29.26,5.0,0.77,T_above_validated_reduced_temperature,4.28845733710854,3.615786755825068,4.897443799395943
B2Mg0.98,conventional_AlB2,38.4,15.5,29.568,5.0,0.77,T_above_validated_reduced_temperature,4.281539256753845,3.690603055403234,4.891961616505274
B2Mg0.988Sc0.012,conventional_AlB2,41.4,15.5,31.878,5.0,0.77,T_above_validated_reduced_temperature,4.287550970255874,3.628989076238924,4.881783089920845
B2Mg0.98Pb0.02,conventional_AlB2,35.5,15.5,27.335,5.0,0.77,T_above_validated_reduced_temperature,4.296825559607718,3.703288684423681,4.890949779572301
B2Mg0.98Sc0.02,conventional_AlB2,39.0,15.5,30.03,5.0,0.77,T_above_validated_reduced_temperature,4.286071508334704,3.713437534474856,4.892217470632189
B2Mg0.99Mn0.01,conventional_AlB2,33.4,15.5,25.718,5.0,0.77,T_above_validated_reduced_temperature,4.29456395047279,3.67512231134642,4.895971619082965
B2Mg0.99Pb0.01,conventional_AlB2,35.9,15.5,27.643,5.0,0.77,T_above_validated_reduced_temperature,4.297374223100727,3.6984938788266377,4.909114085873218
B2Mg0.99Sn0.01,conventional_AlB2,33.5,15.5,25.795,5.0,0.77,T_above_validated_reduced_temperature,4.294837249965669,3.6647578722495178,4.9081351331949055
B2Mg0.99Ti0.01,conventional_AlB2,38.6,15.5,29.722,5.0,0.77,T_above_validated_reduced_temperature,4.2888021729115415,3.638491002171937,4.900305732826227
B2Mg0.9Pb0.1,conventional_AlB2,34.0,15.5,26.18,5.0,0.77,T_above_validated_reduced_temperature,4.299083092291819,3.685058004978711,4.901476262247291
B2Mg0.9Ti0.1,conventional_AlB2,38.3,15.5,29.491,5.0,0.77,T_above_validated_reduced_temperature,4.286067356825962,3.625190765915542,4.87806247421998
B2Mg0.9Zn0.1,conventional_AlB2,38.4,15.5,29.568,5.0,0.77,T_above_validated_reduced_temperature,4.294598347372289,3.695414473972389,4.905036455537124
B2Mg0.9Zr0.1,conventional_AlB2,37.3,15.5,28.721,5.0,0.77,T_above_validated_reduced_temperature,4.287661877723784,3.681472100112211,4.889485020506533
MgB2,conventional_AlB2,39.0,15.5,30.03,5.0,0.77,T_above_validated_reduced_temperature,4.286223364054467,3.853627244631777,4.821598132207009
MgB2,conventional_AlB2,39.0,15.5,30.03,5.0,0.77,T_above_validated_reduced_temperature,4.294744783542939,3.7917743597234095,4.833303921184637
MgB2,conventional_AlB2,39.0,15.5,30.03,5.0,0.77,T_above_validated_reduced_temperature,4.291563796542481,3.8127288034265554,4.827047321068514
