paper,T,passing,clears_field_clause,hc2,top,span,hc2_over_top,deposited_ratio,recomputed_ratio,gate_floor,reproduced
elsevier_10.1016_j.physc.2009.05.098,10.0,True,True,86.0,46.05504587155964,45.504587155963314,1.8673306772908362,0.5291231064646897,0.5291231064646897,0.20000000000000076,True
elsevier_10.1016_j.physc.2009.05.098,15.0,True,True,86.0,46.14678899082568,45.688073394495405,1.8636182902584497,0.5312566673778535,0.5312566673778535,0.23809523809523822,True
elsevier_10.1016_j.physc.2009.05.098,20.0,True,True,86.0,46.05504587155964,45.688073394495426,1.8673306772908362,0.5312566673778538,0.5312566673778538,0.30000000000000066,True
elsevier_10.1016_j.physc.2009.05.098,25.0,True,True,86.0,46.05504587155964,45.59633027522936,1.8673306772908362,0.5301898869212717,0.5301898869212717,0.29999999999999966,True
elsevier_10.1016_j.physc.2009.05.098,2.0,True,True,86.0,46.05504587155964,45.779816513761475,1.8673306772908362,0.5323234478344357,0.5323234478344357,0.2857142857142853,True
elsevier_10.1016_j.physc.2009.05.098,30.0,True,True,86.0,44.12844036697247,43.57798165137614,1.9488565488565492,0.5067207168764668,0.5067207168764668,0.19047619047619113,True
elsevier_10.1016_j.physc.2009.05.098,35.0,True,True,86.0,30.09174311926605,30.09174311926605,2.857926829268293,0.3499039897589075,0.3499039897589075,0.42857142857142844,True
elsevier_10.1016_j.physc.2009.05.098,40.0,False,False,86.0,9.999999999999998,9.633027522935778,8.600000000000001,0.1120119479411137,0.1120119479411137,0.28571428571428625,True
elsevier_10.1016_j.physc.2009.05.098,5.0,True,True,86.0,46.05504587155964,45.59633027522936,1.8673306772908362,0.5301898869212717,0.5301898869212717,0.19047619047619022,True
elsevier_10.1016_j.physc.2009.11.051,2.0,True,True,2.5,20.0,19.8,0.125,0.72,0.72,0.36,True
elsevier_10.1016_j.physc.2009.11.051,10.0,True,True,4.5,20.0,19.8,0.225,0.4,0.4,0.36,True
elsevier_10.1016_j.physc.2009.11.051,15.0,True,True,5.0,20.0,19.8,0.25,0.36,0.36,0.36,True
elsevier_10.1016_j.physc.2009.11.051,20.0,True,True,5.5,20.0,19.8,0.275,0.8727272727272727,0.8727272727272727,0.36,True
elsevier_10.1016_j.physc.2009.11.051,2.0,True,True,2.5,20.0,19.8,0.125,0.72,0.72,0.36,True
elsevier_10.1016_j.physc.2009.11.051,10.0,True,True,4.5,20.0,19.8,0.225,0.4,0.4,0.36,True
elsevier_10.1016_j.physc.2009.11.051,15.0,True,True,5.0,20.0,19.8,0.25,0.36,0.36,0.36,True
elsevier_10.1016_j.physc.2009.11.051,20.0,True,True,5.5,20.0,19.8,0.275,0.8727272727272727,0.8727272727272727,0.36,True
elsevier_10.1016_j.physc.2010.05.048,2.0,True,True,3.5,50.0,50.0,0.07,0.5714285714285714,0.5714285714285714,0.4,True
elsevier_10.1016_j.physc.2010.05.048,3.0,True,True,3.8,50.0,50.0,0.076,0.5263157894736842,0.5263157894736842,0.4,True
elsevier_10.1016_j.physc.2010.05.048,4.0,True,True,4.0,50.0,50.0,0.08,0.5,0.5,0.4,True
elsevier_10.1016_j.physc.2010.05.048,5.0,True,True,4.5,50.0,50.0,0.09,0.4444444444444444,0.4444444444444444,0.4,True
elsevier_10.1016_j.physc.2010.05.048,6.0,True,True,5.0,50.0,50.0,0.1,0.4,0.4,0.4,True
elsevier_10.1016_j.physc.2010.05.048,7.0,True,True,6.5,50.0,50.0,0.13,0.7692307692307693,0.7692307692307693,0.4,True
elsevier_10.1016_j.physc.2010.05.048,8.0,True,True,8.5,50.0,50.0,0.17,0.5882352941176471,0.5882352941176471,0.4,True
elsevier_10.1016_j.physc.2010.05.048,9.0,True,True,12.5,50.0,50.0,0.25,0.8,0.8,0.4,True
elsevier_10.1016_j.physc.2013.04.060,4.2,True,True,10.5,8.000000000000002,6.006677796327214,1.3124999999999998,0.5720645520311632,0.5720645520311632,0.003897550111358411,True
elsevier_10.1016_j.physc.2013.04.060,4.2,True,True,10.5,8.000000000000002,6.006677796327214,1.3124999999999998,0.5709515859766279,0.5720645520311632,0.003897550111358411,False
elsevier_10.1016_j.physc.2013.04.060,4.2,True,True,10.5,8.000000000000002,6.006677796327214,1.3124999999999998,0.3817473567056206,0.5720645520311632,0.003897550111358411,False
elsevier_10.1016_j.physc.2013.04.060,10.0,True,True,11.9,13.980066445182723,12.970099667774086,0.8512119771863118,0.5047600435523046,0.8397777715737459,0.3303571428571429,False
elsevier_10.1016_j.physc.2013.04.060,10.0,True,True,11.9,13.980066445182723,12.970099667774086,0.8512119771863118,0.6745023590831682,0.8397777715737459,0.3303571428571429,False
elsevier_10.1016_j.physc.2013.04.060,10.0,True,True,11.9,13.980066445182723,12.970099667774086,0.8512119771863118,0.757140065328457,0.8397777715737459,0.3303571428571429,False
elsevier_10.1016_j.physc.2013.04.060,10.0,True,True,11.9,13.980066445182723,12.970099667774086,0.8512119771863118,0.5449621709148778,0.8397777715737459,0.3303571428571429,False
elsevier_10.1016_j.physc.2013.04.060,10.0,True,True,11.9,13.980066445182723,12.970099667774086,0.8512119771863118,0.8397777715737459,0.8397777715737459,0.3303571428571429,True
elsevier_10.1016_j.physc.2016.05.023,2.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
