n_kept,beta,n_used,lever_dex,field_ratio,in_temperature_window,enough_points,has_lever,clears_field_clause,admitted,beta_nofloor,beta_old_rule,n_old_rule,paper,T,was_passing
55,0.2499047717080467,55,0.7726677688668272,0.8311656337877957,True,True,True,True,True,0.2499047717080467,0.2499047717080467,55,1002.0208v2.pdf,15.0,True
51,0.14556523710122743,51,1.1979506799262623,0.9365316208385236,True,True,True,True,True,0.16075029062342003,0.16075029062342003,52,1002.0208v2.pdf,20.0,True
50,0.06843163239946994,50,1.1534519349385612,0.9296642553273694,True,True,True,True,True,0.09903931032407118,0.09903931032407118,51,1002.0208v2.pdf,25.0,True
58,0.5241444740742838,58,1.224175724574143,0.9401628873680408,True,True,True,True,True,0.34146416272795593,0.34146416272795593,60,1002.0208v2.pdf,30.0,True
49,1.0150603666098958,49,0.39621145341137803,0.5983788852917935,True,True,True,True,True,1.0150603666098958,1.0150603666098958,49,1002.0208v2.pdf,7.0,True
7,4.80890241368759,7,0.26074678101781085,0.3925933200213865,True,True,False,True,True,4.80890241368759,4.80890241368759,7,elsevier_10.1016_j.physc.2013.04.060,4.2,True
7,5.574238902537192,7,0.14122844215856156,0.2540250700319742,True,True,False,False,False,5.574238902537192,5.574238902537192,7,elsevier_10.1016_j.physc.2013.04.060,4.2,True
5,4.485592075902136,5,0.35268572128436393,0.3578881469115193,True,True,True,True,True,4.485592075902136,4.485592075902136,5,elsevier_10.1016_j.physc.2013.04.060,4.2,True
7,3.8755912236446273,7,0.5997284440122732,0.5460585925702205,True,True,True,True,True,3.8755912236446273,3.8755912236446273,7,elsevier_10.1016_j.physc.2013.04.060,10.0,True
9,3.9638026252324745,9,0.5179195943278452,0.553557108488945,True,True,True,True,True,3.9638026252324745,3.6755296363560706,10,elsevier_10.1016_j.physc.2013.04.060,10.0,True
10,3.916343697044255,10,0.40277250106820733,0.533134128840748,True,True,True,True,True,3.916343697044255,3.5736610928614247,13,elsevier_10.1016_j.physc.2013.04.060,10.0,True
8,3.938175879795814,8,0.6435799281596613,0.5449621709148778,True,True,True,True,True,3.938175879795814,3.938175879795814,8,elsevier_10.1016_j.physc.2013.04.060,10.0,True
11,3.583043457128703,11,0.7608958096932623,0.7628515634906547,True,True,True,True,True,3.583043457128703,3.583043457128703,11,elsevier_10.1016_j.physc.2013.04.060,10.0,True
6,14.677107918145607,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,14.677107918145607,14.677107918145607,6,elsevier_10.1016_j.physc.2016.05.023,2.0,False
6,16.617595400523722,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,16.617595400523722,16.617595400523722,6,elsevier_10.1016_j.physc.2016.05.023,3.0,False
6,16.03089068784389,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,16.03089068784389,16.03089068784389,6,elsevier_10.1016_j.physc.2016.05.023,5.0,False
6,15.224770691281597,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,15.224770691281597,15.224770691281597,6,elsevier_10.1016_j.physc.2016.05.023,6.0,False
6,16.462838899738568,6,0.01937140406774503,0.043333333333333335,False,True,False,False,False,16.462838899738568,16.462838899738568,6,elsevier_10.1016_j.physc.2016.05.023,7.0,False
6,9.814859593488618,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,9.814859593488618,9.814859593488618,6,elsevier_10.1016_j.physc.2016.05.023,2.0,False
6,14.086712313947391,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,14.086712313947391,14.086712313947391,6,elsevier_10.1016_j.physc.2016.05.023,3.0,False
6,13.950018213718895,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,13.950018213718895,13.950018213718895,6,elsevier_10.1016_j.physc.2016.05.023,5.0,False
6,15.218838235386476,6,0.01937140406774503,0.043333333333333335,True,True,False,False,False,15.218838235386476,15.218838235386476,6,elsevier_10.1016_j.physc.2016.05.023,6.0,False
6,14.893753829843629,6,0.01937140406774503,0.043333333333333335,False,True,False,False,False,14.893753829843629,14.893753829843629,6,elsevier_10.1016_j.physc.2016.05.023,7.0,False
14,2.764982746420655,14,0.09231836931397916,0.19143468202029149,False,True,False,False,False,2.764982746420655,2.764982746420655,14,iop_10.1088_0953-2048_29_3_035013,10.0,False
14,3.5304982610907976,14,0.09265638842533205,0.1920651722292187,False,True,False,False,False,3.5304982610907976,3.5304982610907976,14,iop_10.1088_0953-2048_29_3_035013,12.0,False
14,2.298947817741483,14,0.09232199120121162,0.1914396416286213,True,True,False,False,False,2.298947817741483,2.298947817741483,14,iop_10.1088_0953-2048_29_3_035013,4.2,False
14,2.660122461730171,14,0.09232000660485115,0.19143654187341516,True,True,False,False,False,2.660122461730171,2.660122461730171,14,iop_10.1088_0953-2048_29_3_035013,8.0,False
6,1.3956392115961718,6,0.3162699622207181,0.48913043478260876,True,True,True,True,True,1.3956392115961718,1.3956392115961718,6,springer_10.1007_s10854-026-16566-9,5.0,True
6,1.7131577185815723,6,0.3162699622207181,0.48913043478260876,True,True,True,True,True,1.7131577185815723,1.7131577185815723,6,springer_10.1007_s10854-026-16566-9,7.0,True
6,2.148304340960862,6,0.3162699622207181,0.48913043478260876,False,True,True,True,False,2.148304340960862,2.148304340960862,6,springer_10.1007_s10854-026-16566-9,10.0,True
6,1.1941178140320325,6,0.3162699622207181,0.48913043478260876,True,True,True,True,True,1.1941178140320325,1.1941178140320325,6,springer_10.1007_s10854-026-16566-9,5.0,True
