cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality
B,elsevier_10.1016_j.matpr.2019.05.078,MgB2,wire,mono-5K,39.0,2.5,15.5,Tier_1_direct_match_at_5.0K_term_Hc2,3,3,0.6799999999999999,T,5.0,1.5876771649881465,0.7429272006271876,5.8834923491829745,0.315447656675639,0.20260450394260504,True,ok
B,elsevier_10.1016_j.matpr.2019.05.078,MgB2,wire,multi-5K,39.0,2.5,15.5,Tier_1_direct_match_at_5.0K_term_Hc2,3,3,0.6799999999999999,T,5.0,1.6643944033887998,0.74211407452907,5.791065446039283,0.31510240476770535,0.20238276844565667,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.3065084603671735,0.04460865077261208,5.887064559451677,0.02219557141104087,0.022771737722725456,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.33818817647917854,0.04698803320459849,5.858914894613055,0.023379461948415767,0.023986359622168007,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417228705511,0.04945845559978022,5.8291254335909555,0.024608650208687678,0.025247456705880304,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,10.0,0.42793027398655603,0.0518834002608832,5.797653148949851,0.025815209079199344,0.026485335952512377,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.49517351491922956,0.053930907380449006,5.764626466926182,0.026833972522974096,0.027530545350517237,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818691102,0.05476738972007242,5.730662083288469,0.027250172750251305,0.027957549165985574,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032498568847,0.05207095214650221,5.697954146705582,0.025908527839554992,0.02658107702770379,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,7.0,50.0,Tier_1_direct_match_at_21.0K_term_H_irr_Birr,5,5,0.7857142857142857,T,21.0,2.0318848862207113,0.4977109553283936,5.21625336030008,0.208382099812955,0.2589401026783602,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.25849911428013284,0.04029858155832405,5.938873932801721,0.020051044699307866,0.02057154138187317,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.3065084603671735,0.04460865077261208,5.887064559451677,0.02219557141104087,0.022771737722725456,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417228705511,0.04945845559978022,5.8291254335909555,0.024608650208687678,0.025247456705880304,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,10.0,0.42793027398655603,0.0518834002608832,5.797653148949851,0.025815209079199344,0.026485335952512377,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.49517351491922956,0.053930907380449006,5.764626466926182,0.026833972522974096,0.027530545350517237,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818691102,0.05476738972007242,5.730662083288469,0.027250172750251305,0.027957549165985574,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032498568847,0.05207095214650221,5.697954146705582,0.025908527839554992,0.02658107702770379,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,17.0,0.7889815008385456,0.0677411233921125,5.644766721618954,0.033705409809856354,0.03458035516160393,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_direct_match_at_18.0K_term_H_irr_Birr,4,4,0.7777777777777778,T,18.0,0.8608719111058379,0.0890320037271927,5.584398792977684,0.044298943116834945,0.04544888179392146,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,5.0,50.0,Tier_1_direct_match_at_19.0K_term_H_irr_Birr,4,4,0.7,T,19.0,1.3774048505485763,0.12581848867044965,5.546252608249943,0.04662340029791012,0.045928959992024045,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,6.0,50.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,4,4,0.5833333333333334,T,20.0,2.5994078829980607,0.1790004851035513,5.520299810463274,0.046190318225144966,0.043489246973642766,True,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,7.0,50.0,Tier_1_direct_match_at_21.0K_term_H_irr_Birr,5,5,0.7857142857142857,T,21.0,2.0318848862207113,0.4977109553283936,5.21625336030008,0.208382099812955,0.2589401026783602,True,ok
B,elsevier_10.1016_j.phpro.2012.03.421,"Ba(Fe,Ru)2As2",single_crystal,Ba(Fe0.63Ru0.37)2As2,20.0,15.3,60.0,Tier_1_extrapolated_to_low_T_anchor_15.0K,6,6,0.032679738562091505,T,2.0,19.056778098711693,2.6289279727727983,5.65243514817675,0.01701459585501226,0.02605262547175578,True,H_axis_applicability_bound
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,Ba0.64K0.36Fe2As2,20.0,9.0,60.0,Tier_1_direct_match_at_17.7K_term_Hc2,4,4,0.7777777777777778,T,18.0,2.3263800510964,0.5290282131393053,5.830458994213288,0.26322435379285025,0.27005729191090466,True,ok
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,Ba0.64K0.36Fe2As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,16.0,2.356997636576607,0.5320008500357918,5.7620468986949165,0.26470342373921996,0.27157475653769003,True,ok
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,15.0,2.143757436440256,0.572008303103688,5.948469292927186,0.28460961613183666,0.29199768658846864,True,ok
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,13.0,2.2161404136399403,0.5575967388814473,5.9243771080107335,0.277438967843782,0.28464090051012886,True,ok
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,10.0,2.0685651407190835,0.3617696099409688,5.689456161912301,0.18000282270652762,0.18467544567773905,True,ok
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,7.0,2.0354547867651522,0.3126337983889819,5.491070414923148,0.15555471020962836,0.15959269314880445,True,ok
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.038,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,8.4,20.989848311509046,3.270621928519837,6.29235740751653,0.08975332444447484,0.10222809200435956,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.047,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,11.9,19.317596242417356,2.6494074998391093,6.3059124830032465,0.07270578455905986,0.0828111229417024,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.058,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,15.4,20.865737693011162,2.768386998414047,6.254234382404786,0.07597085276790098,0.08652999972164795,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.074,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,5.0,24.199928499008845,3.8262714571647356,6.2850252566585585,0.10500161874433551,0.1195957373882128,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.074,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,10.0,24.84075443346188,3.812307384355379,6.256559946857931,0.10461840986870635,0.11915926917653767,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.074,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,15.0,26.624724387318317,3.7992559239140533,6.226182182041912,0.10426024937462057,0.11875132470978741,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.074,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,16.0,22.125009905568543,3.0464942018097556,6.229319762691783,0.08360274994240169,0.09522265178971201,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.10,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,15.4,24.051918782097154,3.337805107850232,6.225186310036157,0.09159698445645953,0.10432800282134035,True,H_axis_applicability_bound
B,elsevier_10.1016_j.physc.2009.03.028,Ba(Fe1-xCox)2As2,single_crystal,x = 0.118,22.0,50.0,50.0,Tier_3_literature_default,6,6,0.1,T,8.4,23.952488512453755,4.294203691033004,6.30580343735956,0.11784274435084748,0.1342216421403153,True,H_axis_applicability_bound
