T_bin,H_bin,n,log_Jc_mean,log_Jc_std,log_Jc_norm_mean,log_Jc_norm_std,n_compounds
"(0.2, 0.3]","(0.7, 0.8]",8,3.5395906230238126,1.6255146399033782,0.6183257606953294,0.277905058491825,5
"(0.2, 0.3]","(0.8, 0.9]",8,3.316224976187419,1.6377097525198725,0.5618382871456395,0.285014775373215,5
"(0.3, 0.4]","(0.0, 0.1]",378,5.293598190769995,1.6171003591043707,0.7496547239969101,0.18026365637006414,15
"(0.3, 0.4]","(0.1, 0.2]",64,4.30124255854833,1.3111224647911435,0.6442646341020521,0.2053543064561261,11
"(0.3, 0.4]","(0.2, 0.3]",30,4.504055572151044,1.1027847880573243,0.7110481325604155,0.2378698704859249,8
"(0.3, 0.4]","(0.3, 0.4]",32,4.231520325651374,1.2169865566396232,0.6682494197684097,0.2502327565761345,8
"(0.3, 0.4]","(0.4, 0.5]",27,3.833499466165447,1.4524100704387561,0.5807191892183207,0.2659688992242933,6
"(0.3, 0.4]","(0.5, 0.6]",9,2.711266726753505,1.974357623168226,0.419695108013568,0.32774471435344776,5
"(0.3, 0.4]","(0.6, 0.7]",5,4.709308532695626,1.2823389969503967,0.6846106966295078,0.22274578682678245,3
"(0.4, 0.5]","(0.0, 0.1]",391,4.768997408501625,1.7767821290087191,0.6907833226738661,0.22543598467479026,18
"(0.4, 0.5]","(0.1, 0.2]",35,4.399983213838429,1.6171855047194252,0.7007203813989805,0.2585354132446059,12
"(0.4, 0.5]","(0.2, 0.3]",28,4.356362571776885,1.5306942640145227,0.7047647515981839,0.252642922362702,10
"(0.4, 0.5]","(0.3, 0.4]",22,4.01778518598519,1.4525263810116358,0.6383912248886684,0.2897776564134459,9
"(0.4, 0.5]","(0.4, 0.5]",19,3.5345436165084916,1.6492610849190974,0.5572740639255495,0.3115184790128689,7
"(0.4, 0.5]","(0.5, 0.6]",10,2.758779175647704,1.994462221930251,0.479228370618633,0.36162896194639493,6
"(0.4, 0.5]","(0.6, 0.7]",5,3.8256798537435612,0.9180350147974087,0.7058278507672228,0.1775243568432778,4
"(0.5, 0.6]","(0.0, 0.1]",539,5.01349304216918,1.3249571945431935,0.7262668938944474,0.1507695170938152,13
"(0.5, 0.6]","(0.1, 0.2]",119,4.642828261572538,0.994933808702848,0.6916484342057296,0.138910465214112,9
"(0.5, 0.6]","(0.2, 0.3]",94,4.449805895539012,0.543380249355309,0.6674785051424881,0.10926032430409832,6
"(0.5, 0.6]","(0.3, 0.4]",80,4.2564870956262695,0.41594240605803146,0.6210752475203204,0.10647275873593152,4
"(0.5, 0.6]","(0.4, 0.5]",56,3.884919078203744,0.44635029621974276,0.576975952783384,0.12455826545671818,3
"(0.5, 0.6]","(0.5, 0.6]",11,3.5187173698686394,0.7925040202326424,0.5702922808551953,0.2018650508073744,4
"(0.5, 0.6]","(0.6, 0.7]",6,3.346530207674604,1.4127934130533175,0.5103760734216357,0.24407050185974172,2
"(0.6, 0.7]","(0.0, 0.1]",303,5.2306848248205595,1.2889561728776313,0.7094587388869992,0.15067279754919544,14
"(0.6, 0.7]","(0.1, 0.2]",60,4.480876268005849,1.4694238993234707,0.6880095959671005,0.23481895144752374,13
"(0.6, 0.7]","(0.2, 0.3]",40,4.208801007072856,1.4616855721086617,0.6931144942171622,0.2529735387364442,11
"(0.6, 0.7]","(0.3, 0.4]",33,3.8721957401354863,1.3251808044073883,0.6430218229542914,0.2764885327586363,10
"(0.6, 0.7]","(0.4, 0.5]",24,3.197997803824027,1.6778040087737864,0.5523113753967308,0.3363224312081051,8
"(0.6, 0.7]","(0.5, 0.6]",12,2.5414997296458304,1.9786949792040542,0.4747584645410125,0.40134122938641276,7
"(0.6, 0.7]","(0.6, 0.7]",8,3.582731694798579,1.531502354511015,0.7020919377956065,0.3728031812998003,4
"(0.6, 0.7]","(0.8, 0.9]",5,3.2827269994397112,1.985390737394046,0.6351184034423498,0.43341396494618645,3
