cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,Tc_repaired,Hc2_repaired,withdrawn,repair,reproduced,range_repaired,beta_repaired,n_pts_repaired,lever_H,clears_field_clause,passing_repaired
B,elsevier_10.1016_j.cjph.2024.09.042,FeSeTe,single_crystal,H_x-FeSe 1#,14.0,47.0,47.0,Tier_3_literature_default,6,6,0.0957446808510638,T,30.0,30.0,5.785449471395232,5.840639011973413,0.1697354518858772,0.1807794410375471,True,H_axis_applicability_bound,elsevier_10.1016_j.cjph.2024.09.042,41.0,47.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.cjph.2024.09.042,FeSeTe,single_crystal,H_x-FeSe 2#,14.0,47.0,47.0,Tier_3_literature_default,6,6,0.0808510638297872,T,12.0,29.999999997385192,4.203730612684889,5.869711402609109,0.0905133026598028,0.1111026811577545,True,H_axis_applicability_bound,elsevier_10.1016_j.cjph.2024.09.042,41.0,47.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N1,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.99999999999582,28.639383557641917,3.688983107625284,0.1127991415879556,0.140113490013611,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,74.38,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N1,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.99999999999843,31.841562050301825,3.603921762992584,0.1254112428559294,0.1557796133423171,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,74.38,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N2,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.999999999970512,24.337731615684127,3.668840201310722,0.095856642542913,0.1190683629548788,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,64.11,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N2,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,30.0,35.320456361676946,3.572933871028417,0.1391132300500049,0.1727995436692883,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,64.11,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N3,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.9999999997611,21.094404392912423,3.635077379711335,0.0830824693918669,0.1032009160846883,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,66.0,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N3,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.999999999999638,36.75996597011376,3.5268793405347547,0.1447828773582497,0.1798420909552827,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,66.0,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N4,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.999999999833648,20.19905452359546,3.795952275763076,0.0795560383726456,0.098820557188596,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,74.18,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N4,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.99999999999787,29.39822756996729,3.7083120050128895,0.1157879114380241,0.1438259915454515,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,74.18,100.0,,,False,,,0,0.0,False,False
